"Notes"	"ICD Chapter"	"ICD Chapter Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Salmonella septicaemia"	"A02.1"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Shigellosis, unspecified"	"A03.9"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Other intestinal Escherichia coli infections"	"A04.4"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Campylobacter enteritis"	"A04.5"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Enterocolitis due to Clostridium difficile"	"A04.7"	241	83256835	0.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Other specified bacterial intestinal infections"	"A04.8"	4	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Bacterial intestinal infection, unspecified"	"A04.9"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Botulism"	"A05.1"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Foodborne Clostridium perfringens [Clostridium welchii] intoxication"	"A05.2"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Amoebiasis, unspecified"	"A06.9"	2	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Acute gastroenteropathy due to Norwalk agent"	"A08.1"	1	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Viral intestinal infection, unspecified"	"A08.4"	7	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	14	83256835	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	112	83256835	0.1
"Total"	"Certain infectious and parasitic diseases"	"A00-B99"	"Intestinal infectious diseases"	"A00-A09"			389	83256835	0.5
	"Certain infectious and parasitic diseases"	"A00-B99"	"Tuberculosis"	"A16-A19"	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	35	83256835	0.0
